experiment,batch_size,dtype,tokens_per_sec,samples_per_sec,valid,exit_code,duration_s,description
exp_01_baseline_bf16_bs16_no_quant,16,bfloat16,1008.73,7.88073,VALID,0,1757,"Baseline: BF16, TP=1, BS=16, no quant, all flags pinned explicitly"
exp_02_fp8_quantization,16,bfloat16,1381.17,10.7904,VALID,0,1304,"+FP8 quantization: weights 8.5GB -> 3.47GB"
exp_03_tensor_parallel_1,16,bfloat16,1381.04,10.7893,VALID,0,1304,"+TP=1 explicit: removes inter-GPU comm overhead on 8B model"
exp_04_gpu_mem_util_0.98,16,bfloat16,1379.74,10.7793,VALID,0,1306,"+gpu_memory_utilization=0.98: more VRAM for KV cache"
exp_05_batch_size_512,512,bfloat16,2673.76,20.8888,VALID,0,706,"batch_size 16->512: saturates GPU compute"
exp_06_max_model_len_2668,512,bfloat16,2678.99,20.9296,VALID,0,710,"+max_model_len=2668: dataset minimum (2540+128). 148x concurrency vs 3x at default"
exp_07_batched_tokens_65536_mem_0.95,512,bfloat16,2646.17,20.6732,VALID,0,715,"+max_num_batched_tokens=65536 + gpu_mem_util 0.98->0.95 (required) + chunked_prefill=True"
exp_08_expandable_segments_segfault_fix,512,bfloat16,2659.12,20.7744,VALID,0,711,"+expandable_segments:True: root cause fix for all mid-run segfaults"
exp_09_sort_by_length_bs512,512,bfloat16,2780.76,21.7247,VALID,0,682,"+sort queries by input length: mean latency -24pct, throughput +0.7pct"
exp_10_no_prefix_cache_bs512,512,bfloat16,2773.22,21.6658,VALID,0,685,"+enable_prefix_caching=False explicit: zero hit rate on CNN DailyMail"
exp_11_batch_size_1024_final,1024,bfloat16,2746.62,21.458,VALID,0,691,"batch_size 512->1024: +3.4pct throughput. BS=2048 regresses. Optimal confirmed."
